TICKER.EXCHANGECODE,TICKER,EXCHANGECODE,ASK,BID,AVG,SUPPLY,DEMAND,TRADED
APT.NC2,APT,NC2,,,6935.35,0.0,0.0,0.0
BLE.CI2,BLE,CI2,,,1800.16,0.0,0.0,0.0
BRO.NC2,BRO,NC2,,,829.99,0.0,0.0,0.0
CC.NC2,CC,NC2,,,330828.72,0.0,0.0,0.0
CCD.NC2,CCD,NC2,,,27557.34,0.0,0.0,0.0
CST.AI1,CST,AI1,2250.0,,2250.0,136.0,0.0,0.0
CST.IC1,CST,IC1,,,1690.0,0.0,0.0,2.0
CTF.CI1,CTF,CI1,20000.0,14000.0,18000.0,38.0,5.0,20.0
CTF.CI2,CTF,CI2,,,16000.0,0.0,0.0,0.0
CTF.NC2,CTF,NC2,20500.0,,10081.89,10.0,0.0,0.0
CU.CI2,CU,CI2,,,1400.0,0.0,0.0,0.0
DCH.CI1,DCH,CI1,,27000.0,19000.0,0.0,1.0,1.0
DCH.CI2,DCH,CI2,,,8990.33,0.0,0.0,0.0
DCH.IC1,DCH,IC1,,20000.0,8990.33,0.0,10.0,0.0
DCH.NC2,DCH,NC2,,,8990.33,0.0,0.0,0.0
LD.IC1,LD,IC1,10000.0,,12000.0,90.0,0.0,1.0
PK.NC2,PK,NC2,,,832.27,0.0,0.0,0.0
SEQ.AI1,SEQ,AI1,19000.0,18000.0,18000.0,1.0,181.0,3.0
SFE.CI1,SFE,CI1,58000.0,,57000.0,24.0,0.0,2.0
SIL.AI1,SIL,AI1,2840.0,,2840.0,621.0,0.0,30.0
TCO.IC1,TCO,IC1,1000.0,500.0,700.0,61.0,500.0,40.0
TRU.PP30D_CI1,TRU,PP30D_CI1,,,542.5375371849068,,,618.0
STL.NC1,STL,NC1,1970.0,1860.0,1945.72,19225.0,6474.0,222.0
AFR.PP30D_NC2,AFR,PP30D_NC2,,,7797.12,,,0.0
ALR.PP7D_CI2,ALR,PP7D_CI2,,,1343.84,,,0.0
TRU.PP30D_CI2,TRU,PP30D_CI2,,,600.0,,,0.0
FEO.PP30D_UNIVERSE,FEO,PP30D_UNIVERSE,,,147.88453125141845,,,888.0
HD.PP30D_NC2,HD,PP30D_NC2,,,1598.29,,,0.0
HD.PP7D_NC2,HD,PP7D_NC2,,,1598.29,,,0.0
SEN.IC1,SEN,IC1,779.0,700.0,779.0,5480.0,1971.0,60.0
HCC.PP30D_AI1,HCC,PP30D_AI1,,,718.4746382924336,,,252.0
HPC.PP30D_CI1,HPC,PP30D_CI1,,,25893.661111111112,,,3.0
LSE.PP7D_AI1,LSE,PP7D_AI1,,,9792.831532329496,,,323.0
TRU.PP30D_IC1,TRU,PP30D_IC1,,,578.7792619645097,,,720.0
TRS.PP30D_CI1,TRS,PP30D_CI1,,,100147.41,,,0.0
LST.PP30D_UNIVERSE,LST,PP30D_UNIVERSE,,,161.46986545976355,,,3979.0
TRS.PP7D_CI2,TRS,PP7D_CI2,,,100147.41,,,0.0
MFK.PP7D_CI2,MFK,PP7D_CI2,,,220.0,,,0.0
CAF.CI1,CAF,CI1,1400.0,920.0,1430.0,7325.0,2280.0,8.0
MTC.PP7D_NC2,MTC,PP7D_NC2,,,446.29,,,0.0
O.PP30D_CI1,O,PP30D_CI1,,,99.9407367144282,,,5691.0
O.PP7D_CI2,O,PP7D_CI2,,,110.0,,,0.0
PE.PP7D_UNIVERSE,PE,PP7D_UNIVERSE,,,9.51100253470544,,,307841.0
